Year,temparature_anomaly_celsium,CO2(ppmv),CH4(ppbv)
-27912,-9.44,,
-27964,-9.38,,
-28002,,191.375496743275,
-28017,-9.85,,
-28030,,,399.0
-28049,,191.5673410079,
-28070,-8.4,191.7,
-28120,-10.03,,
-28151,,188.2467783878,
-28174,-9.25,,
-28198,,,392.0
-28226,-9.19,,
-28231,,188.475316491,
-28277,-8.31,,
-28327,-9.94,186.51738769949998,
-28362,,185.98864642130002,
-28379,-8.61,,
-28430,-9.06,,
-28450,,184.2981804458,
-28481,-9.19,,
-28532,-9.19,,
-28578,,182.936081584225,
-28584,-9.29,,
-28636,-8.88,,
-28668,,,410.0
-28686,-8.88,,
-28737,-8.87,,
-28762,,187.14328122450002,
-28787,-8.87,,
-28811,,,408.0
-28825,,190.33222284570002,
-28837,-8.87,,
-28887,-7.57,,
-28933,-8.69,,
-28982,-8.77,,
-29024,,,392.0
-29032,-8.52,,
-29081,-9.51,,
-29135,-9.93,,
-29155,,187.999563507075,
-29190,-9.29,,
-29243,-9.47,,
-29248,,,404.0
-29297,-10.04,,
-29352,-9.42,,
-29405,-8.91,,
-29406,,188.4753253155,
-29454,,,412.0
-29457,-9.07,,
-29508,-8.9,,
-29560,-9.87,,
-29574,,189.94686495800002,
-29614,-8.92,,
-29668,-10.36,,
-29723,-9.19,,
-29775,-7.5,,
-29806,,,427.0
-29822,-8.3,,
-29842,,193.71283854975002,
-29843,,,422.0
-29868,,192.9276430365,
-29871,-8.88,,
-29920,-8.5,,
-29945,,,441.0
-29969,-7.07,,
-29983,,192.507154839675,
-30014,-8.12,,
-30061,-6.9,,
-30076,,193.3257604058,
-30105,-8.4,,
-30119,,,457.0
-30129,,193.90502757875,
-30153,-8.64,,
-30197,,196.41665588339998,
-30200,,196.9080549903,
-30203,-8.31,,
-30213,,,471.0
-30252,-8.81,,
-30302,-8.2,,
-30304,,,431.0
-30351,-8.38,,
-30357,,192.46518778166669,
-30399,-7.78,,
-30411,,195.247244775875,
-30420,,,452.0
-30448,-9.02,,
-30465,,,409.0
-30484,,194.110429478875,
-30497,-7.95,,
-30546,-8.09,,
-30561,,194.60682974099998,
-30595,-9.16,,
-30638,,,410.0
-30644,,194.4295742917,
-30647,-9.77,,
-30695,,,405.0
-30702,-9.46,,
-30727,,195.08012700165003,
-30756,-9.31,,
-30764,,195.93861278715002,
-30810,-9.88,,
-30818,,,404.0
-30863,,199.302319209275,
-30864,,,415.0
-30865,-9.24,,
-30919,-8.59,,
-30930,,196.70181603277499,
-30954,,,432.0
-30970,-9.25,,
-31022,-8.74,,
-31059,,196.32609642975,
-31073,-8.18,,
-31076,,,424.0
-31110,,,428.0
-31122,-8.03,,
-31170,-7.93,,
-31198,,197.646004846875,440.0
-31217,-7.53,,
-31252,,,443.0
-31264,-8.06,,
-31298,,,444.0
-31312,-7.76,,
-31359,-7.48,,
-31405,-8.3,,
-31454,-8.06,,
-31467,,196.89622890765,
-31502,-8.47,,
-31530,,,461.0
-31541,,197.12526326695,
-31552,-8.14,,
-31601,-8.12,,
-31605,,197.79975641045,
-31649,-7.72,,
-31698,-9.32,,
-31738,,,479.0
-31749,-8.1,,
-31785,,,426.0
-31799,-8.77,,
-31808,,200.03106638475,
-31851,-9.53,,
-31860,,,415.0
-31891,,195.627148340675,
-31905,-9.53,,
-31907,,,419.0
-31935,,195.2662323655,
-31957,,194.46060405395,
-31960,-9.53,,
-31975,,194.47027317217498,
-32007,,196.47191999325,
-32016,-9.52,,
-32041,,195.41091567172498,
-32071,-9.52,,
-32096,,,420.0
-32114,,195.93175875274997,
-32126,-9.16,,
-32129,,,430.0
-32180,-8.53,,
-32230,-9.12,,
-32235,,,430.0
-32240,,194.8874767012333,
-32284,-8.97,,
-32300,,195.7913334535,
-32337,-9.58,,
-32362,,196.266613322,
-32384,,196.20185201500001,
-32387,,,428.0
-32392,-9.08,,
-32445,-8.19,,
-32495,-8.03,,
-32543,-8.55,,
-32581,,,447.0
-32594,-7.39,,
-32606,,199.6474818549,
-32628,,,457.0
-32641,-8.34,,
-32652,,199.48892963999998,
-32670,,200.2924224414,
-32690,-7.75,,
-32697,,198.89171239745002,
-32718,,,489.0
-32738,-7.68,,
-32760,,197.16130487224999,
-32786,-8.48,,
-32834,-7.35,,
-32875,,202.795646976,
-32881,-7.4,,
-32916,,203.0917776366,
-32929,-8.37,,
-32951,,,519.0
-32954,,,520.0
-32977,-8.04,,
-32996,,,513.0
-33026,-7.69,,
-33059,,205.3,
-33073,-7.03,,
-33111,,,514.0
-33119,-7.69,,
-33139,,198.7828307793,
-33166,-8.41,,
-33215,,203.60050857025,
-33216,-7.72,,
-33231,,,498.0
-33264,-7.09,,
-33288,,,492.0
-33310,-7.52,,
-33331,,205.3761847385,
-33357,-8.18,,
-33380,,,427.0
-33387,,204.46706210535,
-33406,-8.24,,
-33409,,203.6185257355,
-33433,,201.35769286432503,
-33455,-8.06,,
-33495,,200.29875552115,
-33503,-6.81,,
-33539,,,421.0
-33547,,201.06305549865002,
-33550,-8.52,,
-33558,,202.04126672700002,
-33580,,201.88660042935,
-33600,-8.67,,
-33617,,201.8276293501,
-33651,-7.81,,
-33700,-7.61,,444.0
-33722,,201.81310262977502,
-33747,-7.89,,
-33751,,200.5019756069,
-33796,-8.68,,
-33814,,,426.0
-33848,-8.18,,
-33891,,,425.0
-33898,-9.24,,
-33904,,203.28865874520002,
-33943,,,441.0
-33952,-7.97,,
-33998,,198.799944457875,
-34002,-8.02,,
-34050,,,440.0
-34051,-8.08,,
-34100,-8.05,,
-34136,,204.123014498,
-34150,-9.07,,
-34154,,,441.0
-34203,-8.69,,
-34223,,201.7797825328,
-34256,-8.54,,
-34307,-8.32,,
-34311,,200.09164615275,
-34358,-7.84,,471.0
-34407,-7.84,,
-34424,,,469.0
-34456,-8.09,,
-34505,-8.2,,
-34555,-8.05,,
-34556,,198.9617645275,
-34572,,,494.0
-34604,-7.77,,
-34641,,205.10239260525,
-34654,-8.44,,
-34663,,,524.0
-34704,-8.08,,
-34719,,203.76951759,
-34754,-7.95,,
-34762,,203.7543230524,
-34804,-8.66,,
-34856,-8.84,,
-34870,,202.76033458287498,
-34909,-8.54,,
-34961,-8.17,,
-34987,,,534.0
-34989,,203.514345808,
-35010,-7.0,,
-35038,,,534.0
-35057,-6.63,,
-35073,,206.3568576216,
-35101,-7.91,,
-35150,-7.88,,
-35168,,210.157174784,
-35177,,,587.0
-35193,,207.34584681975,
-35199,-7.89,,
-35238,,,536.0
-35247,-6.62,,
-35250,,,548.0
-35293,-7.79,,
-35340,-6.84,,
-35346,,208.25190909,
-35348,,,572.0
-35352,,209.65639176,
-35387,-7.91,,
-35388,,206.586570978,
-35417,,,563.0
-35434,-6.84,,
-35456,,,580.0
-35480,-8.14,,
-35481,,212.50552869749998,
-35511,,209.83667782650002,
-35521,,209.1,
-35529,-6.85,,
-35565,,,560.0
-35574,,,557.0
-35575,-7.18,,
-35609,,,544.0
-35620,-6.04,,
-35663,-6.18,,
-35668,,214.29589900083332,
-35697,,212.135905967,
-35705,-6.27,,
-35725,,,547.0
-35747,-5.14,,
-35787,-6.41,,
-35801,,,539.0
-35827,,212.09241359079002,
-35829,-5.22,,
-35868,-4.66,,
-35899,,,540.0
-35907,-6.16,,
-35943,,,481.0
-35945,,214.2064208262,
-35948,-7.17,,
-35995,-7.23,,
-36042,-7.86,,
-36050,,211.213425214,
-36088,-5.98,,
-36095,,,526.0
-36131,-5.5,,
-36138,,214.36039257750002,
-36174,-7.13,,
-36215,,208.335059710425,
-36218,-7.25,,
-36242,,206.5229252229,
-36265,-7.63,,
-36287,,,443.0
-36313,-5.83,,
-36334,,207.41115700100002,
-36356,-7.28,,
-36400,-6.29,,
-36409,,207.99977968,
-36444,-6.57,,
-36462,,210.7947524055,
-36471,,,440.0
-36489,-7.03,,
-36522,,207.2301825856,
-36534,-6.62,,
-36578,-6.39,,
-36583,,210.07869060075,
-36622,-6.41,,
-36623,,208.23327262075,
-36665,-6.34,,
-36671,,204.79190564040002,
-36709,-6.82,,
-36720,,204.455553872625,
-36754,-7.18,,
-36773,,206.543994036,
-36800,-7.53,,
-36847,,,455.0
-36848,-6.15,,
-36862,,206.085787558,
-36891,-6.89,,
-36924,,205.650989878,
-36936,-6.59,,
-36980,-6.46,,
-37005,,205.98808959113333,
-37026,-7.78,202.3448524395,
-37070,,,441.0
-37072,-6.87,,
-37103,,204.28298891580002,
-37118,-5.95,,
-37161,-8.05,,
-37170,,207.32358522299998,
-37211,-7.73,,
-37226,,,450.0
-37260,-8.2,,
-37311,-8.05,,
-37315,,208.685091262475,
-37353,,209.495641888,
-37361,-7.97,,
-37369,,209.326456305,
-37389,,207.868080375675,
-37412,-8.2,,
-37423,,,444.0
-37429,,204.77737582487998,
-37452,,191.53156337775,
-37462,-7.97,,
-37504,,198.138503631,
-37513,-8.03,,
-37564,-9.02,,
-37565,,200.402973875925,
-37619,-9.2,,
-37641,,,427.0
-37671,,195.70159247466665,
-37674,-9.1,,
-37729,-8.18,,
-37759,,196.6742707386,
-37782,-9.24,,
-37804,,,419.0
-37807,,193.581354240625,
-37837,-7.83,,
-37841,,,419.0
-37858,,,411.0
-37887,-8.48,,
-37934,,193.873098888,
-37939,-7.74,,
-37950,,197.55250733926664,
-37989,-8.12,,
-38039,-7.2,,
-38047,,,424.0
-38081,,,422.0
-38088,-8.25,,
-38092,,192.59565555449998,
-38102,,,414.0
-38138,-7.74,,
-38162,,193.08131430805,
-38188,-7.59,,
-38195,,193.690311850125,
-38212,,,442.0
-38238,-8.63,,
-38261,,,448.0
-38269,,,440.0
-38290,-8.53,,
-38343,-8.41,,
-38344,,,450.0
-38358,,197.90454896091208,
-38394,-7.19,,
-38421,,,429.0
-38443,-7.54,,
-38475,,,420.0
-38491,-7.26,,
-38535,,201.32268604261674,
-38540,-8.54,,
-38592,-8.89,,
-38603,,201.48445246633034,
-38646,-8.72,,
-38686,,,413.0
-38699,,,419.0
-38701,-8.7,,
-38755,-8.82,,
-38804,,200.46615960740988,
-38809,-8.42,,
-38854,,,426.0
-38862,-8.14,,
-38898,,,447.0
-38910,,,422.0
-38915,-9.39,,
-38957,,200.96619797440226,
-38969,-8.15,,
-39001,,,433.0
-39022,-8.02,,
-39073,-7.77,,
-39108,,,420.0
-39119,,,434.0
-39123,-7.57,,
-39160,,,433.0
-39173,-8.58,,
-39216,,,442.0
-39217,,201.53203042679758,
-39224,-7.31,,
-39272,-6.45,,
-39273,,,457.0
-39307,,,465.0
-39315,,,462.0
-39318,-7.55,,
-39353,,204.18539759772148,
-39366,-7.58,,
-39401,,,465.0
-39415,-7.83,,
-39420,,,465.0
-39465,-8.57,,
-39511,,,467.0
-39519,-6.66,,
-39565,-8.83,,
-39619,-7.79,,
-39655,,205.49006636725477,
-39670,-8.73,,
-39723,-7.95,,
-39737,,,458.0
-39774,-8.22,,
-39809,,201.12434903906262,
-39827,-8.97,,
-39882,-8.36,,
-39935,-8.8,,
-39950,,199.89056576724948,
-39977,,,414.0
-39990,-8.74,,
-40044,-8.75,,
-40099,-9.06,,
-40101,,,429.0
-40155,-9.04,,
-40211,-8.22,,
-40213,,,416.0
-40264,-8.89,,
-40318,-7.52,,
-40346,,,415.0
-40365,,200.8960917386434,
-40369,-8.18,,
-40420,-8.36,,
-40472,-7.54,,
-40522,-7.55,,
-40546,,,456.0
-40572,-7.77,,
-40622,-8.46,,
-40674,-7.12,,
-40678,,204.82674347655342,
-40723,-8.52,,
-40729,,,446.0
-40776,-7.61,,
-40826,-7.94,,
-40877,-7.41,,
-40889,,,471.0
-40899,,206.35415471090323,
-40926,-6.75,,
-40934,,,470.0
-40972,-7.07,,
-41018,,204.26047843855292,
-41019,-7.02,,
-41066,-7.2,,
-41086,,,486.0
-41113,-6.62,,
-41160,-6.83,,
-41169,,,482.0
-41206,-7.51,,
-41221,,203.16207190191966,
-41254,-6.83,,
-41302,-8.03,,
-41353,-7.93,,
-41395,,,463.0
-41400,,201.66462398159248,
-41404,-6.47,,
-41449,-6.93,,
-41487,,,437.0
-41496,-7.36,,
-41545,-7.9,,
-41550,,209.1,
-41565,,204.2219503591491,
-41596,-8.06,,
-41640,,,415.0
-41647,-7.37,,
-41696,-7.57,,
-41711,,203.18091908152513,
-41746,-7.81,,
-41796,-7.22,,
-41846,-8.42,,
-41859,,201.68967291161366,
-41898,-8.68,,
-41913,,,411.0
-41952,-8.02,,
-42003,-7.94,,
-42054,-8.74,,
-42108,-8.66,,
-42145,,204.30591912829976,
-42162,-8.31,,
-42212,,,431.0
-42215,-8.82,,
-42254,,201.99679013111552,
-42270,-8.77,,
-42326,-8.44,,
-42379,-8.04,,
-42400,,206.22156348649375,
-42431,-7.04,,
-42453,,,427.0
-42481,-7.63,,
-42531,-8.73,,
-42540,,204.82615482707928,
-42584,-8.3,,
-42638,-8.46,,
-42690,-7.9,,
-42705,,212.28537276723182,
-42725,,,469.0
-42742,-7.57,,
-42792,-7.92,,
-42843,-7.8,,
-42866,,210.4383494018988,
-42894,-7.78,,
-42945,-7.57,,
-42995,-7.65,,
-43039,,,462.0
-43046,-7.75,211.4870756888481,
-43096,-7.17,,
-43145,-7.12,,
-43192,-6.62,207.9533487146811,
-43239,-7.04,,
-43284,,,490.0
-43286,-7.0,,
-43330,,213.9182293789752,
-43334,-6.92,,
-43381,-6.59,,
-43427,-6.79,,
-43464,,,467.0
-43473,-6.51,,
-43510,,214.5013713408328,
-43519,-6.97,,
-43566,-6.9,,
-43612,-5.27,,
-43656,-7.05,,
-43701,-6.19,,
-43746,-6.69,217.51186974587569,
-43748,,,487.0
-43792,-5.44,,
-43834,-6.01,,
-43877,-5.35,,
-43919,-6.28,,
-43927,,222.71746789063323,499.0
-43962,-4.25,,
-44000,-5.14,,
-44041,-6.03,,
-44085,-6.86,,
-44107,,221.7721744693644,
-44130,-5.8,,
-44173,-5.24,,
-44215,-6.38,,
-44231,,219.24687294689662,
-44259,-6.31,,
-44264,,,497.0
-44303,-6.12,,
-44347,-6.18,,
-44358,,218.34888238109227,
-44389,,,514.0
-44391,-5.7,,
-44434,-5.72,,
-44476,-4.85,,
-44515,-4.57,,
-44553,-4.03,,
-44591,-5.64,,
-44599,,,499.0
-44633,-5.51,,
-44674,-5.05,,
-44685,,216.41663219437746,
-44715,-5.68,,
-44756,-5.25,,
-44795,,,493.0
-44796,,214.18284619947886,
-44798,-6.58,,
-44843,-6.49,,
-44889,-6.86,,
-44935,-5.88,,
-44937,,210.83763232817873,
-44980,-6.44,,
-45024,-6.44,,
-45038,,,440.0
-45069,-6.17,,
-45114,-6.75,,
-45136,,210.2720270577908,
-45161,-6.8,,
-45207,-6.24,,
-45238,,,432.0
-45252,-6.44,,
-45271,,,441.0
-45296,-4.97,,
-45339,-6.67,,
-45364,,207.5966069009341,
-45383,-6.64,,
-45386,,189.3,
-45430,-7.15,,
-45477,-6.59,,
-45521,,,425.0
-45524,-6.97,,
-45571,-6.73,,
-45574,,204.25993514002081,
-45618,-7.0,,
-45666,-7.2,,
-45713,-6.24,,
-45718,,,437.0
-45759,-6.27,,
-45760,,203.7878948817506,
-45805,-7.13,,
-45853,-7.66,,
-45902,-6.65,,
-45950,-7.25,,
-45993,,205.65965094423697,
-45999,-8.94,,
-46002,,,453.0
-46054,-7.92,,
-46107,-8.02,,
-46160,-8.55,,
-46214,-7.94,,
-46223,,,414.0
-46267,-7.31,,
-46273,,206.18208295015899,
-46317,-7.99,,
-46368,-6.8,,
-46416,-6.63,,
-46463,-6.8,,
-46477,,200.97514386943084,
-46510,-7.31,,
-46560,-7.0,,
-46608,-8.51,,
-46663,-7.56,,
-46713,-6.93,,
-46728,,,435.0
-46761,-8.32,,
-46815,-8.17,,
-46868,-7.08,,
-46904,,188.4,
-46917,-7.01,,
-46965,-6.54,,
-46989,,,461.0
-47012,-7.57,,
-47037,,201.57862918592315,
-47062,-7.67,,
-47113,-7.59,,
-47164,-8.17,,
-47216,-7.28,,
-47267,-8.05,,
-47307,,,464.0
-47319,-7.64,,
-47352,,200.12004323663527,
-47371,-8.39,,
-47424,-7.36,,
-47475,-7.96,,
-47512,,204.05803785391646,
-47527,-7.16,,
-47538,,,434.0
-47576,-6.75,,
-47624,-7.54,,
-47674,-7.45,,
-47723,-6.1,,
-47740,,210.1,
-47766,,,452.0
-47770,-7.7,,
-47778,,203.8713291389937,
-47820,-7.67,,
-47870,-6.3,,
-47918,-7.67,,
-47940,,,492.0
-47968,-7.49,,
-48019,-8.18,,
-48056,,204.37676012041777,
-48071,-7.06,,
-48120,-6.64,,
-48168,-6.96,,
-48215,-6.5,,
-48242,,,470.0
-48262,-7.02,,
-48270,,206.74402693868802,
-48310,-7.53,,
-48361,-7.5,,
-48411,-7.06,,
-48460,-7.05,,
-48491,,,489.0
-48508,-5.64,,
-48553,-7.17,,
-48577,,207.40999031146947,
-48601,-7.43,,
-48651,-8.11,,
-48672,,,493.0
-48702,-6.25,,
-48713,,215.7,
-48750,-7.02,,
-48798,-7.48,,
-48847,-6.59,,
-48896,-7.5,,
-48945,-7.37,,
-48971,,,510.0
-48995,-6.69,,
-49043,-6.71,,
-49079,,207.63643592103043,
-49090,-7.84,,
-49142,-7.38,,
-49192,-7.38,,
-49194,,,515.0
-49242,-7.22,,
-49292,-6.95,,
-49340,-7.02,,
-49389,-6.77,,
-49436,-7.21,,
-49477,,,544.0
-49481,,211.57084710504336,
-49485,-6.61,,
-49532,-6.42,,
-49578,-5.98,,
-49624,-7.41,,
-49671,,,517.0
-49672,-6.57,,
-49720,-7.35,,
-49768,-6.11,,
-49815,-6.64,,
-49829,,215.07712976760632,
-49861,-5.49,,
-49904,-6.81,,
-49933,,,531.0
-49951,-6.26,,
-49996,-5.97,,
-50039,-4.62,,
-50082,-6.36,,
-50124,-5.24,,
-50136,,213.81781717736385,
-50167,-6.23,,
-50170,,,527.0
-50212,-7.27,,
-50261,-6.32,,
-50308,-6.86,,
-50355,-6.32,,
-50399,,,567.0
-50401,-6.75,,
-50432,,190.4,
-50434,,219.08254103386616,
-50448,-6.07,,
-50493,-5.66,,
-50537,-7.04,,
-50582,,,543.0
-50584,-5.97,,
-50623,,220.7236106732058,
-50629,-6.35,,
-50674,-5.28,,
-50717,-6.72,,
-50763,-6.11,,
-50807,-4.61,,
-50849,-6.11,,
-50850,,221.1479059817251,
-50864,,,529.0
-50892,-6.18,,
-50937,-6.62,,
-50984,-6.82,,
-51032,-6.33,,
-51039,,,530.0
-51076,-4.25,,
-51117,-5.75,,
-51158,,223.71721395019227,
-51159,-6.18,,
-51203,-5.08,,
-51244,-5.41,,
-51249,,,535.0
-51286,-5.03,,
-51327,-5.18,,
-51368,-4.95,,
-51408,-4.92,,
-51449,-4.99,,
-51450,,223.261990272584,
-51482,,,513.0
-51489,-5.29,,
-51532,-6.18,,
-51576,-6.3,,
-51621,-6.08,,
-51667,-7.19,,
-51715,-6.87,,
-51739,,,438.0
-51763,-6.66,,
-51810,-5.54,,
-51853,-6.25,,
-51856,,221.13790909272413,
-51898,-5.54,,
-51922,,,438.0
-51942,-6.52,,
-51987,-6.25,,
-52033,-6.67,,
-52080,-6.5,,
-52127,-6.98,,
-52150,,,437.0
-52174,-5.66,,
-52206,,220.3743647767866,
-52218,-5.96,,
-52263,-5.83,,
-52306,-5.42,,
-52350,-7.04,,
-52397,-6.9,,
-52437,,217.95673832028174,
-52445,-6.86,,
-52453,,,462.0
-52494,-7.4,,
-52544,-7.4,,
-52594,-6.79,,
-52643,-7.62,,
-52694,-7.9,,
-52744,,213.88701388029443,
-52746,-7.37,,
-52798,-7.39,,
-52847,-5.94,,
-52881,,,476.0
-52893,-6.6,,
-52939,-6.76,,
-52987,-6.14,,
-53032,-5.79,,
-53064,,216.8579026931373,
-53076,-6.93,,
-53124,-6.82,,
-53135,,,514.0
-53171,-6.04,,
-53218,-7.05,,
-53265,-6.85,,
-53313,-6.34,,
-53338,,,461.0
-53343,,208.19350573591464,
-53360,-6.59,,
-53408,-7.81,,
-53458,-6.79,,
-53507,-6.77,,
-53555,-6.81,,
-53603,-7.19,214.7766439566713,
-53642,,,466.0
-53653,-7.37,,
-53703,-7.91,,
-53757,-8.33,,
-53811,-7.32,,
-53846,,,534.0
-53857,,,483.0
-53862,-7.35,,
-53913,-8.13,,
-53959,,210.2748744860088,
-53967,-8.38,,
-54021,-6.75,,
-54072,-8.67,,
-54126,-7.37,,
-54178,-7.29,,
-54227,-6.52,,
-54275,-6.88,,
-54287,,207.67411308560085,
-54325,-8.08,,
-54366,,,546.0
-54376,-6.63,,
-54425,-7.0,,
-54474,-7.1,,
-54523,-7.21,,
-54553,,212.4366913146648,
-54573,-6.64,,
-54620,-6.46,,
-54642,,,550.0
-54668,-7.61,,
-54718,-6.52,,
-54766,-7.18,,
-54816,-6.36,,
-54840,,,543.0
-54862,-6.13,,
-54893,,,554.0
-54907,-6.56,,
-54953,-5.32,,
-54998,-6.83,,
-55043,-6.25,,
-55090,-6.37,,
-55135,-5.72,,
-55138,,221.7,
-55179,-5.2,,
-55221,-5.99,,
-55260,,215.69652704379405,
-55265,-4.97,,
-55306,,,542.0
-55307,-5.7,,
-55350,-5.58,,
-55395,-7.79,,
-55444,-6.66,,
-55492,-5.97,,
-55526,,217.37632438255054,
-55537,-5.75,,
-55581,-6.43,,
-55586,,,515.0
-55628,-6.61,,
-55675,-5.83,,
-55707,,210.4,
-55719,-5.23,,
-55762,-6.95,,
-55771,,,520.0
-55810,-7.16,,
-55859,-6.82,,
-55893,,223.71829246142204,
-55907,-6.23,,
-55953,-6.2,,
-55998,-5.97,,
-56043,-6.1,,561.0
-56088,-5.25,,
-56130,-6.57,,
-56176,-5.28,,
-56208,,,554.0
-56220,-5.98,,
-56262,-4.42,,
-56267,,224.35339767076476,
-56304,-6.03,,
-56346,-5.03,,
-56388,-4.92,,
-56429,-5.86,,
-56441,,,502.0
-56472,-5.66,,
-56483,,223.14855036746204,
-56516,-6.42,,
-56560,-4.83,,
-56602,-4.6,,
-56641,-5.19,,
-56660,,,523.0
-56683,-5.44,,
-56725,-5.64,,
-56767,-4.89,,
-56809,-5.93,,
-56853,-5.8,,
-56897,-6.08,,
-56930,,,454.0
-56942,-5.78,,
-56986,-5.9,,
-57030,-5.8,,
-57074,-5.71,,
-57104,,,442.0
-57117,-5.41,,
-57155,,231.29357613421678,
-57160,-5.36,,
-57202,-7.08,,
-57251,-4.53,,
-57291,-6.16,,
-57336,-6.26,,
-57382,-7.3,,
-57416,,,435.0
-57430,-6.1,226.35329184425117,
-57475,-4.82,,
-57518,-6.28,,
-57563,-6.55,,
-57610,-6.19,,
-57640,,,425.0
-57655,-5.85,,
-57700,-7.15,,
-57749,-6.9,,
-57783,,223.45481611599993,
-57797,-5.32,,
-57841,-5.9,,
-57884,-5.92,,
-57915,,,443.0
-57929,-5.72,,
-57974,-7.27,,
-58022,-6.35,,
-58069,-6.78,,
-58099,,,426.0
-58117,-6.67,,
-58159,,216.66068075629482,
-58165,-7.25,,
-58215,-7.33,,
-58266,-6.92,,
-58315,-6.66,,
-58363,-7.48,,
-58391,,,430.0
-58414,-6.97,,
-58423,,212.87091028761074,
-58463,-6.25,,
-58509,-7.25,,
-58559,-6.73,,
-58566,,217.25313232793502,
-58598,,,425.0
-58607,-6.07,,
-58652,-5.79,,
-58698,-7.22,,
-58747,-6.91,,
-58796,-7.24,,
-58846,-7.52,,
-58862,,,412.0
-58867,,213.77895408048403,
-58897,-6.68,,
-58898,,,437.0
-58946,-6.45,,
-58993,-7.13,,
-59043,-7.77,,
-59094,-6.43,,
-59101,,,432.0
-59110,,207.954258455404,
-59143,-7.13,,
-59192,-6.86,,
-59241,-7.09,,
-59284,,210.56770709704924,
-59291,-7.32,,
-59342,-7.39,,
-59392,-7.01,,
-59444,-8.11,,
-59497,-7.6,,
-59549,-6.96,,
-59599,-7.44,,
-59604,,210.90340290966515,
-59651,-7.77,,
-59697,,,431.0
-59703,-7.52,,
-59755,-7.26,,
-59807,-7.62,,
-59859,-7.77,,
-59912,-8.37,,
-59950,,206.3768851547348,
-59968,-8.22,,
-60007,,,439.0
-60024,-8.94,,
-60083,-8.17,,
-60139,-7.94,,
-60193,-8.05,,
-60248,-8.19,,
-60252,,,430.0
-60304,-8.6,,
-60361,-8.86,,
-60420,-8.57,,
-60477,-7.25,,
-60529,-8.91,,
-60588,-8.89,,
-60602,,202.5567478249938,
-60606,,,444.0
-60648,-8.85,,
-60707,-8.53,,
-60764,-8.24,,
-60821,-9.17,,
-60824,,202.7086782342372,
-60869,,,444.0
-60882,-9.47,,
-60909,,195.3,
-60944,-8.6,,
-61002,-8.41,,
-61010,,200.14813320360096,
-61062,-10.19,,
-61129,-9.27,,
-61191,-9.22,,
-61252,-9.41,,
-61253,,,468.0
-61315,-8.95,,
-61375,-9.3,,
-61437,-9.05,,
-61482,,,484.0
-61498,-8.83,,
-61557,-8.49,,
-61605,,197.40343593339372,
-61613,-6.68,,
-61665,-6.82,,
-61715,-8.34,,
-61769,-6.63,,
-61817,,,489.0
-61820,-8.87,,
-61878,-7.88,,
-61933,-7.86,,
-61946,,197.24236643525396,
-61987,-7.12,,
-62039,-7.45,,
-62067,,,434.0
-62092,-8.53,,
-62150,-9.08,,
-62163,,199.7280299125443,
-62209,-8.38,,
-62268,-8.78,,
-62327,-9.32,,
-62389,-8.71,,
-62400,,,440.0
-62448,-8.24,,
-62506,-8.82,,
-62566,-9.11,,
-62627,-8.4,,
-62685,-9.24,,
-62704,,,462.0
-62707,,203.69546669849038,
-62746,-8.3,,
-62805,-9.34,,
-62867,-9.01,,
-62917,,201.67027938028278,
-62928,-8.82,,
-62989,-8.89,191.4,
-63034,,,461.0
-63048,-7.72,,
-63096,,199.17080568979725,
-63103,-7.72,,
-63160,-9.77,,
-63223,-8.36,,
-63282,-9.03,,
-63309,,,457.0
-63343,-8.67,,
-63403,-9.14,,
-63465,-9.42,,
-63528,-8.79,,
-63589,-9.56,,
-63596,,208.9757824141881,
-63652,-8.46,,
-63665,,,476.0
-63713,-9.0,,
-63774,-9.36,,
-63814,,198.17360428453378,
-63837,-9.59,,
-63902,-8.78,,
-63963,-9.29,,
-63976,,,444.0
-63987,,200.59108353507256,
-63989,,194.9,
-64026,-9.58,,
-64091,-9.48,,
-64156,-9.17,,
-64220,-9.81,,
-64286,-9.2,,
-64305,,,461.0
-64349,-9.11,,
-64411,-8.83,,
-64473,-9.04,,
-64489,,204.3859977224767,
-64534,-7.85,,
-64539,,,449.0
-64591,-9.71,,
-64655,-8.67,,
-64717,-8.46,,
-64776,-9.21,,
-64839,-9.23,,
-64868,,,459.0
-64902,-8.5,,
-64963,-9.01,,
-65009,,207.20522458616006,
-65025,-9.61,,
-65090,-8.82,,
-65126,,,453.0
-65153,-9.39,,
-65217,-9.26,,
-65281,-9.44,,
-65346,-8.86,,
-65364,,201.14189964947187,
-65408,-8.9,,
-65470,-9.4,,
-65482,,,471.0
-65534,-8.78,,
-65595,-7.81,,
-65653,-9.11,,
-65715,-9.12,,
-65779,-9.32,203.758804582249,
-65782,,,480.0
-65842,-7.12,,
-65897,-8.87,,
-65958,-8.6,,
-66018,-8.27,,
-66078,-9.06,,
-66086,,,451.0
-66141,-9.63,,
-66196,,200.17043811242027,
-66208,-9.51,,
-66274,-9.31,,
-66329,,,456.0
-66339,-7.79,,
-66395,-8.04,,
-66453,-7.92,,
-66510,-7.59,,
-66566,-8.15,,
-66623,-7.77,,
-66669,,203.42547248921588,
-66681,-8.6,,
-66734,,,474.0
-66741,-8.14,,
-66801,-9.42,,
-66865,-8.96,,
-66929,-8.92,,
-66992,-9.71,,
-67026,,,460.0
-67059,-8.85,,
-67124,-9.67,,
-67131,,205.42035908699594,
-67190,-8.75,,
